Node,Type,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Degree_Centrality,Closeness_Centrality,Avg_Similarity_To_Others,Max_Similarity_To_Others
Dunaújváros Megyei Jogú Város Önkormányzata,Issuer,15727000207,7,-0.0018372494,0.20134929,-0.44328886,0.3862058,2.2781017,57,0.0,0.006282857626742195,0.0005741237770807114,0.0013477088948787063,0.2617283950617284,0.33345908,1.1920929e-07
Fővárosi Önkormányzat Csarnok és Piac Igazgatósága,Issuer,15490270243,2,0.030378886,0.16944416,-0.3960918,0.4225645,1.9476082,90,0.0,0.03061813540111131,0.0005701991225811772,0.0013477088948787063,0.2826666666666667,0.38331357,-5.9604645e-08
Budapest Főváros X. kerület Kőbányai Önkormányzat|Kőbányai Hárslevelű Óvoda|Kőbányai Kiskakas Óvoda|Bárka Kőbányai Humánszolgáltató Központ|Kocsis Sándor Sportközpont|Kőbányai Rece-fice Óvoda|Kőbányai Vagyonkezelő Zártkörűen Működő Részvénytársaság|Kőbányai Bóbita Óvoda|Kőbányai Kékvirág Óvoda|Kőbányai Gesztenye Óvoda|Kőbányai Gépmadár Óvoda|Kőbányai Gyöngyike Óvoda|Budapest Főváros X. kerület Kőbányai Polgármesteri Hivatal|Kőbányai Csodapók Óvoda|KŐKERT Kőbányai Kerületgondnoksági és Településüzemeltetési Non-profit Közhasznú Korlátolt Felelősségű Társaság|Kőbányai Gezengúz Óvoda|Kőbányai Aprók Háza Óvoda|Kőrösi Csoma Sándor Kőbányai Kulturális Nonprofit Kft|Kőbányai Mászóka óvoda|Kőbányai Egyesített Bölcsődék|Kőbányai Csodafa Óvoda|Kőbányai Szivárvány Szociális Gondoskodást Nyújtó Közhasznú Nonprofit Korlátolt Felelősségű Társaság|Kőbányai Zsivaj Óvoda,Issuer,15735739242|16909623242|16918339242|15823137242|15831440242|16909881242|10816772242|16909520242|16909506242|16909568242|16909513242|16909616242|15510000242|16909599242|14324130242|16909661242|16909630242|25307610242|16909496242|16909984242|16909654242|21886171242|16909678242,2,0.02696287,0.16837041,-0.39464414,0.40859058,1.9291645,90,0.0,0.03061813540111131,0.0005701991225811772,0.0013477088948787063,0.2826666666666667,0.38395652,-1.7881393e-07
ÉBH Észak-Balatoni Hulladékgazdálkodási Nonprofit Kft,Issuer,12429057219,9,0.028256638,0.17595693,-0.5349833,0.547806,2.016231,71,0.0008778260181234883,0.04553791377810833,0.0009381878416481908,0.0026954177897574125,0.29907295445384924,0.3689246,1.1920929e-07
Szentendre Város Önkormányzat |Ferenczy Múzeumi Centrum|Hamvas Béla Pest Megyei Könyvtár|Városi Szolgáltató Nonprofit Zrt.|Szentendrei Közös Önkormányzati Hivatal|AQUAPALACE Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság|Szentendre Városi Óvodák|Gondozási Központ Szentendre|Szentendre Város Egészségügyi Intézményei,Issuer,15731292213|15440196213|15440189213|10822612213|15395364213|13753069213|16793215213|15775285113|15395333113,2,0.016140413,0.17389518,-0.3847991,0.40431935,1.9758557,90,0.0,0.03061813540111131,0.0005701991225811772,0.0013477088948787063,0.2826666666666667,0.3707611,-5.9604645e-08
"BVH Budapesti Városüzemeltetési Holding Zártkörűen Működő Részvénytársaság|Fővárosi Kertészeti Zártkörűen Működő Nonprofit Részvénytársaság|Budapest Gyógyfürdői és Hévizei Zrt.|FŐTÁV-Kiserőmű Villamos energia-, Hőtermelő és Hőszolgáltató Korlátolt Felelősségű Társaság|IMMODUS Szolgáltató Zártkörűen Működő Részvénytársaság|Budapesti Temetkezési Intézet Zártkörűen Működő Részvénytársaság|Fővárosi Közterület-fenntartó Zártkörűen Működő Nonprofit Részvénytársaság|Budapesti Távhőszolgáltató Zrt|Budapest Közút Zártkörűen Működő Részvénytársaság|FŐTÁV Dolgozók Szakszervezete",Issuer,23024216241|10903894242|12165814244|14038417243|12343021243|10987553241|12166602244|10941362244|23501894244|19621315143,8,-0.02046233,0.20270939,-0.46761334,0.5777754,2.30505,57,0.0,0.006234808932103612,0.000583592124901998,0.0013477088948787063,0.26777336701551785,0.3294029,1.1920929e-07
E-Mobi Elektromobilitás Nonprofit Korlátolt Felelősségű Társaság|NKM Mobilitás Kft.,Issuer,25539431241|23443486241,2,0.028608255,0.17033848,-0.3618789,0.4250814,1.9541507,90,0.0,0.03061813540111131,0.0005701991225811772,0.0013477088948787063,0.2826666666666667,0.37657106,-5.9604645e-08
Edelény Város Önkormányzata|Damak Község Önkormányzata|Abod Község Önkormányzata,Issuer,15725596205|15548081105|15548122105,8,-0.023206033,0.20961818,-0.4655725,0.48535442,2.3860474,57,0.0,0.006234808932103612,0.000583592124901998,0.0013477088948787063,0.26777336701551785,0.33882976,2.3841858e-07
ZALAKAROS VÁROS ÖNKORMÁNYZATA|KAROS-PARK Városgazdálkodási Kft.|ZALAKAROSI KÖZÖS ÖNKORMÁNYZATI HIVATAL|Zalakarosi Közösségi Ház és Könyvtár|Zalakarosi Óvoda és Bölcsőde,Issuer,15734336220|12770092220|15808457120|15832922220|15437644220,7,-0.0019401368,0.19974205,-0.4312792,0.4200682,2.25993,57,0.0,0.006282857626742195,0.0005741237770807114,0.0013477088948787063,0.2617283950617284,0.3344,0.0
Eötvös Loránd Kutatási Hálózat Titkársága|Ökológiai Kutatóközpont|MTA Rényi Alfréd Matematikai Kutatóintézet|Közgazdaság- és Regionális Tudományi Kutatóközpont|Számítástechnikai és Automatizálási Kutatóintézet|Csillagászati és Földtudományi Kutatóközpont|Természettudományi Kutatóközpont|Agrártudományi Kutatóközpont|Kísérleti Orvostudományi Kutatóintézet|Bölcsészettudományi Kutatóközpont|Magyar Tudományos Akadémia Nyelvtudományi Intézet,Issuer,15840572141|15300540219|15300337241|15300681243|15300399243|15300320208|15329499243|15300519207|15300526242|15300629243|15300571242,2,0.036528658,0.1640333,-0.3444026,0.40515617,1.9012842,90,0.0,0.03061813540111131,0.0005701991225811772,0.0013477088948787063,0.2826666666666667,0.3916138,0.0
