Node,Type,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Degree_Centrality,Closeness_Centrality,Avg_Similarity_To_Others,Max_Similarity_To_Others
NHKV Nemzeti Hulladékgazdálkodási Koordináló és Vagyonkezelő Zártkörűen Működő Részvénytársaság,Issuer,25456790244,6,-0.011682856,0.18541552,-0.4025601,0.409777,2.1018975,27,0.0,0.05744883060799789,0.0021084905407155806,0.004975124378109453,0.23232892143058295,0.47650924,-1.1920929e-07
Szeged Megyei Jogú Város Önkormányzata|Szegedi Hulladékgazdálkodási Nonprofit Kft.|Szegedi Nemzeti Színház|Regionális Információtechnológiai Központ Zrt.|Szegedi Környezetgazdálkodási Nonprofit Kft.|Szeged Pólus Fejlesztési Nonprofit Kft.|Szeged és Térsége Turisztikai Nonprofit Kft.|Móra Ferenc Múzeum|Szegedi Közlekedési Kft.|Somogyi Károly Városi és Megyei Könyvtár|Szeged Megyei Jogú Város Polgármesteri Hivatal|Szegedi Vadaspark és Programszervező Közhasznú Nonprofit Kft.|Szegedi Rendezvény- és Médiaközpont Nonprofit Kft.|Szegedi Távfűtő Korlátolt Felelősségű Társaság|Szegedi Sport és Fürdők Szolgáltató Korlátolt Felelősségű Társaság|Nevelési és Kulturális Intézmények Gazdasági Szolgálata|Szegedi Városkép és Piac KFT|Szeged Megyei Jogú Város Önkormányzata Bölcsődéi és Gyermekjóléti Központja|IKV Ingatlankezelő és Vagyongazdálkodó Zrt.,Issuer,15735629206|25595417206|15484828206|11990778206|18455058206|22247067206|20353434206|15355935206|11092612206|15484684206|15484000206|23565524206|18457627206|25571642206|11090081206|15484990206|11099224206|15484079206|12460377206,7,0.009689774,0.19708158,-0.44843924,0.47903934,2.2324169,17,0.0,0.03532194341898526,0.0021208854161388468,0.004975124378109453,0.2224101169031689,0.45253286,2.3841858e-07
NISZ Nemzeti Infokommunikációs Szolgáltató Zrt.,Issuer,10585560244,6,-0.006518202,0.18209068,-0.3940598,0.4499808,2.0614405,27,0.0,0.05744883060799789,0.0021084905407155806,0.004975124378109453,0.23232892143058295,0.47846508,-5.9604645e-08
Hajdúböszörményi Tankerületi Központ,Issuer,15835145209,10,0.0443665,0.36804044,-0.75775087,0.782465,4.194048,11,0.0,9.416613147471544e-14,0.002903626796460366,0.004975124378109453,0.026184865147944488,0.34925583,0.0
BKK Budapesti Közlekedési Központ Zártkörűen Működő Részvénytársaság,Issuer,23028966444,3,-0.0039290767,0.18888925,-0.455534,0.47078744,2.1375003,13,0.02461527857924585,0.12011905843116061,0.006303479758221299,0.01990049751243781,0.26821338850302945,0.45696998,-5.9604645e-08
BIOKOM Pécsi Városüzemeltetési és Környezetgazdálkodási Nonprofit Korlátolt Felelősségű Társaság,Issuer,11014959202,4,-0.010481156,0.20659906,-0.49310115,0.4540677,2.3404074,22,0.0,0.03404764974170081,0.0022426982785919525,0.004975124378109453,0.21881706170279458,0.45769176,2.3841858e-07
Budapest Főváros III. kerület Óbuda-Békásmegyer Önkormányzat,Issuer,15735667241,1,-0.0230747,0.19663937,-0.51000977,0.4747884,2.2399852,16,0.0,0.0314304934819385,0.0020837952878654566,0.004975124378109453,0.21465572296993637,0.45430046,3.5762787e-07
Budapesti Corvinus Egyetem,Issuer,19156972244,0,-0.009843371,0.1911221,-0.56456,0.4560503,2.1651657,18,0.025653525715963042,0.10005673009614145,0.005116338917738797,0.014925373134328358,0.27474190911567925,0.45604977,-1.1920929e-07
Oroszlány Város Önkormányzata|Szákszend Község Önkormányzata|DAD KÖZSÉG ÖNKORMÁNYZATA|Kecskéd Község Önkormányzata|Bokod Község Önkormányzata|Kömlőd Község Önkormányzata,Issuer,15729631211|15729727211|15729923211|15729930211|15729916211|15729947211,5,0.044862367,0.3032713,-0.6616704,0.7210985,3.4684608,25,0.0,9.841662692287835e-08,0.002770959409688957,0.004975124378109453,0.060971737059383926,0.3382662,0.0
Nemzeti Adó-és Vámhivatal,Issuer,15789934251,4,-0.0038498892,0.20314987,-0.47828734,0.42503962,2.298791,22,0.013210741014383548,0.07044253055546819,0.0036928432334047715,0.009950248756218905,0.2503655474935857,0.44781193,1.1920929e-07
Dunaújvárosi Egyetem,Issuer,19308746207,0,-0.015604406,0.2053453,-0.5312878,0.45248613,2.329915,18,0.0,0.02961419954067325,0.0021660699417597688,0.004975124378109453,0.21196832737719853,0.44562364,-5.9604645e-08
ÉMI Építésügyi Minőségellenőrző Innovációs Nonprofit Kft.,Issuer,20783185213,3,0.020895902,0.21772833,-0.47224033,0.62798697,2.4746332,13,0.0,0.013694046966225885,0.00219018183989989,0.004975124378109453,0.20491340573983335,0.42063102,1.1920929e-07
MVK Miskolc Városi Közlekedési Zártkörűen Működő Részvénytársaság,Issuer,11072315205,4,0.0012129955,0.19489829,-0.43154347,0.43192744,2.2050653,22,0.0,0.03404764974170081,0.0022426982785919525,0.004975124378109453,0.21881706170279458,0.46117318,0.0
"BMSK Beruházási, Műszaki Fejlesztési, Sportüzemeltetési és Közbeszerzési Zrt.",Issuer,12464780251,9,0.005214597,0.21138217,-0.5622579,0.47210643,2.3922439,17,0.003991739870424621,0.05394056818876574,0.0035988798168304203,0.009950248756218905,0.23232892143058295,0.4613385,-5.9604645e-08
Békéscsabai Városgazdálkodási Kft.,Issuer,26200097204,2,0.008663818,0.19735378,-0.55884403,0.5312866,2.2349539,20,0.0,0.03639488081376739,0.002192719212238562,0.004975124378109453,0.2209588273964598,0.45780694,-2.9802322e-07
Cívis Ház Zártkörűen Működő Részvénytársaság,Issuer,12116229209,10,0.045630373,0.37017927,-0.75590855,0.81146467,4.219798,11,0.0,9.416613147471544e-14,0.002903626796460366,0.004975124378109453,0.026184865147944488,0.3557839,2.3841858e-07
Országos Kórházi Főigazgatóság,Issuer,15845883243,9,-0.008433947,0.19314438,-0.58557296,0.5568582,2.1872616,17,0.006816164247057339,0.07499451798299624,0.0035146511453074394,0.009950248756218905,0.24582170815613405,0.45514217,-5.9604645e-08
Fővárosi Állat - és Növénykert,Issuer,15490658242,2,0.013873359,0.1921878,-0.40322533,0.46578208,2.1800146,20,0.0035524701668165266,0.07171682423275264,0.003571030370951666,0.009950248756218905,0.24317371848120262,0.46383572,-2.3841858e-07
Közép- és Kelet-európai Történelem és Társadalom Kutatásáért Alapítvány,Issuer,18237010243,8,0.026846185,0.27434143,-0.5954463,0.678683,3.1186445,16,0.0017961455349515048,0.0023689295053925027,0.004094387027292661,0.009950248756218905,0.1670132690431934,0.376708,-5.9604645e-08
Hajdú-Bihar Megyei Kormányhivatal,Issuer,15789312209,10,0.04420066,0.36729243,-0.75458246,0.8005011,4.185421,11,0.0,9.416613147471544e-14,0.002903626796460366,0.004975124378109453,0.026184865147944488,0.3470549,2.3841858e-07
Miskolci Egyetem,Issuer,19253055405,1,-0.02173689,0.19292241,-0.50450015,0.43856364,2.1964784,16,0.003031741460916105,0.06104469302261175,0.003507290972199482,0.009950248756218905,0.23638352738923188,0.46566585,0.0
Pázmány Péter Katolikus Egyetem,Issuer,18055342242,0,-0.014814799,0.18520233,-0.4698124,0.4343623,2.1020184,18,0.0,0.02961419954067325,0.0021660699417597688,0.004975124378109453,0.21196832737719853,0.45959738,-5.9604645e-08
Nemzeti Közszolgálati Egyetem,Issuer,15795719251,1,-0.027215663,0.1858241,-0.43153605,0.42159092,2.124788,16,0.01026385036738766,0.11849352363060964,0.004873207255489321,0.014925373134328358,0.2630053615418056,0.48708525,2.3841858e-07
Pillér Informatikai Kft.,Issuer,10708754241,6,-0.005386172,0.18170753,-0.42692736,0.43399128,2.056689,27,0.0,0.05744883060799789,0.0021084905407155806,0.004975124378109453,0.23232892143058295,0.48745167,0.0
Közbeszerzési és Ellátási Főigazgatóság,Issuer,15329396241,2,0.011953698,0.2084701,-0.5774103,0.5324378,2.3624442,20,0.0,0.03639488081376739,0.002192719212238562,0.004975124378109453,0.2209588273964598,0.44981483,2.3841858e-07
Pécsi Vagyonhasznosító Zártkörűen Működő Részvénytársaság|Dél-Kom Dél-Dunántúli Kommunális Szolgáltató Nonprofit Korlátolt Felelősségű Társaság|Tüke Busz Közösségi Közlekedési Zártkörűen Működő Részvénytársaság|BIOKOM Pécsi Városüzemeltetési és Környezetgazdálkodási Nonprofit Korlátolt Felelősségű Társaság,Issuer,12568011202|11541587202|23071067202|11014959202,4,-0.011519465,0.19198704,-0.4119841,0.45471692,2.1759918,22,0.0,0.03404764974170081,0.0022426982785919525,0.004975124378109453,0.21881706170279458,0.46695557,-5.9604645e-08
Ferencvárosi Egészségügyi Szolgáltató Közhasznú Nonprofit Kft.,Issuer,14192247143,5,0.044308152,0.30487388,-0.66224635,0.72460407,3.4854906,25,0.0,9.841662692287835e-08,0.002770959409688957,0.004975124378109453,0.060971737059383926,0.33416906,0.0
Eszterházy Károly Egyetem,Issuer,15834481210,6,-0.01512012,0.18850674,-0.43741,0.40694183,2.1395597,27,0.004990158730222146,0.08706303014867113,0.003531986225049607,0.009950248756218905,0.2503655474935857,0.4821427,1.1920929e-07
BKV Vasúti Járműjavító Szolgáltató Korlátolt Felelősségű Társaság,Issuer,12282672242,2,0.01211717,0.20116003,-0.51429933,0.49446955,2.279991,20,0.0,0.03639488081376739,0.002192719212238562,0.004975124378109453,0.2209588273964598,0.4651215,-1.1920929e-07
Pannon Egyetem,Issuer,15308816219,0,-0.011639494,0.19770524,-0.43807378,0.50299966,2.2406523,18,0.006166598500818669,0.06366184928237406,0.0036661939629259784,0.009950248756218905,0.24761930748451527,0.45216903,1.1920929e-07
Helikon Kastélymúzeum Közhasznú Nonprofit Korlátolt Felelősségű Társaság,Issuer,18956339220,1,-0.023186484,0.20495844,-0.5526216,0.5602669,2.333631,16,0.0,0.0314304934819385,0.0020837952878654566,0.004975124378109453,0.21465572296993637,0.44276956,0.0
BKM Budapesti Közművek Nonprofit Zártkörűen Működő Részvénytársaság|DHK Hátralékkezelő és Pénzügyi Szolgáltató Zártkörűen Működő Részvénytársaság,Issuer,10941362244|12519536243,3,0.017120177,0.21560341,-0.49731532,0.6596766,2.446952,13,0.0,0.013694046966225885,0.00219018183989989,0.004975124378109453,0.20491340573983335,0.41915983,2.3841858e-07
Csongrád Megyei Dr. Bugyi István Kórház,Issuer,15355409206,6,-0.0092975,0.19117965,-0.40678197,0.43197963,2.165507,27,0.0,0.05744883060799789,0.0021084905407155806,0.004975124378109453,0.23232892143058295,0.47652814,3.5762787e-07
Péterfy Kórház - Rendelőintézet és Manninger Jenő Országos Traumatológiai Intézet,Issuer,15492320242,6,-0.001570031,0.19051313,-0.47413024,0.44582313,2.1554832,27,0.0,0.05744883060799789,0.0021084905407155806,0.004975124378109453,0.23232892143058295,0.47803202,-2.3841858e-07
Nemzeti Média- és Hírközlési Hatóság,Issuer,15775883241,8,0.02614044,0.22262043,-0.5144563,0.622237,2.5359666,16,0.032366673445566777,0.06980183668150387,0.005170545854648979,0.014925373134328358,0.2467172335046081,0.40621442,0.0
Médiaszolgáltatás - támogató és Vagyonkezelő Alap,Issuer,18091715444,8,0.0151009485,0.20038755,-0.43137485,0.48731375,2.2735546,16,0.0727666890861074,0.14380037644704513,0.008047263192883522,0.02487562189054726,0.2990016803400217,0.42711404,-1.7881393e-07
KAV Közlekedési Alkalmassági és Vizsgaközpont Nonprofit Korlátolt Felelősségű Társaság,Issuer,26580708241,8,0.017482497,0.25699332,-0.55477387,0.56538785,2.9142675,16,0.0,0.003287905712135258,0.002355304147240222,0.004975124378109453,0.18229846728671584,0.3754796,2.3841858e-07
Készenléti Rendőrség,Issuer,15720199251,2,0.008682814,0.1954843,-0.47600415,0.48230004,2.2138329,20,0.0,0.03639488081376739,0.002192719212238562,0.004975124378109453,0.2209588273964598,0.47630426,-3.5762787e-07
Fővárosi Csatornázási Művek Zrt.|Érd és Térsége Regionális Víziközmű Korlátolt Felelősségű Társaság|Fővárosi Csatornázási Művek Mélyépítő és Karbantartó Korlátolt Felelősségű Társaság|Szegedi Vízmű Zrt.|Érd és Térsége Csatorna-szolgáltató Korlátolt Felelősségű Társaság,Issuer,10893850244|10819067213|12181502243|12634048206|23921917213,4,-0.010184885,0.20324102,-0.46431336,0.415446,2.3022952,22,0.0,0.03404764974170081,0.0022426982785919525,0.004975124378109453,0.21881706170279458,0.46168232,0.0
Békéscsabai Tankerületi Központ,Issuer,15835004204,10,0.04436736,0.36476043,-0.7474491,0.78654534,4.157209,11,0.0,9.416613147471544e-14,0.002903626796460366,0.004975124378109453,0.026184865147944488,0.35242152,-1.7881393e-07
Nagykáta Város Önkormányzata|Tápiószentmárton Nagyközség Önkormányzata|Tápióbicske Község Önkormányzata|Tóalmás Község Önkormányzat|Tápióság Község Önkormányzata|Tápiószele Város Önkormányzata|Úri Község Önkormányzata|Szentlőrinckáta Község Önkormányzata|Tápiószecső Nagyközség Önkormányzata|Kóka Község Önkormányzata|Sülysáp Város Önkormányzata|Farmos Község Önkormányzata|SZENTMÁRTONKÁTA NAGYKÖZSÉG ÖNKORMÁNYZATA,Issuer,15730727213|15730813213|15730765213|15730837213|15730789213|15730806213|15734628213|15730741213|15730796213|15730710213|15730662213|15730703213|15730758213,5,0.045345232,0.30501333,-0.6545653,0.72771484,3.488758,25,0.0,9.841662692287835e-08,0.002770959409688957,0.004975124378109453,0.060971737059383926,0.33769786,-1.7881393e-07
Budapest Főváros IV. Kerület Újpest Önkormányzata,Issuer,15735674241,5,0.04512797,0.3062646,-0.648908,0.72429246,3.5024025,25,0.0,9.841662692287835e-08,0.002770959409688957,0.004975124378109453,0.060971737059383926,0.33487293,-2.9802322e-07
Tata Város Önkormányzata,Issuer,15729617211,5,0.04491322,0.3045954,-0.665472,0.7263804,3.483365,25,0.0,9.841662692287835e-08,0.002770959409688957,0.004975124378109453,0.060971737059383926,0.33589226,1.1920929e-07
Debreceni Egyetem,Issuer,15329750409,0,-0.0022505838,0.17270575,-0.4143684,0.43491575,1.9541084,18,0.03381357005973836,0.15877985438142378,0.00636044233857553,0.01990049751243781,0.29509316164276655,0.49965063,0.0
Budapest Főváros X. kerület Kőbányai Önkormányzat,Issuer,15735739242,5,0.045961354,0.30506378,-0.66619813,0.7369464,3.4903548,25,0.0,9.841662692287835e-08,0.002770959409688957,0.004975124378109453,0.060971737059383926,0.33511364,0.0
Belügyminisztérium,Issuer,15311605241,4,-0.013814766,0.20762788,-0.44242144,0.46230102,2.354235,22,0.0,0.03404764974170081,0.0022426982785919525,0.004975124378109453,0.21881706170279458,0.4449713,2.3841858e-07
Nemzeti Útdíjfizetési Szolgáltató Zártkörűen Működő Részvénytársaság,Issuer,12147715244,3,0.01603647,0.20129462,-0.42061815,0.51974493,2.284604,13,0.010216757439496234,0.05008892777999328,0.003640326794712709,0.009950248756218905,0.23721149070758293,0.44296196,-2.3841858e-07
Mahart-Szabadkikötő Zrt.,Issuer,13541734243,9,0.0010728277,0.21707562,-0.54782814,0.55779946,2.4559603,17,0.0,0.01754568737499835,0.002148734862017601,0.004975124378109453,0.19545131485429992,0.44306287,-2.3841858e-07
Magyar Agrár- és Élettudományi Egyetem,Issuer,19294784213,0,-0.013833547,0.20382956,-0.5009431,0.5158658,2.311373,18,0.0,0.02961419954067325,0.0021660699417597688,0.004975124378109453,0.21196832737719853,0.45766068,2.3841858e-07
Békés Megyei Hajnal István Szociális Szolgáltató Centrum,Issuer,15343226204,10,0.045561425,0.3657044,-0.7547376,0.7819722,4.1694593,11,0.0,9.416613147471544e-14,0.002903626796460366,0.004975124378109453,0.026184865147944488,0.35727224,-3.5762787e-07
Kiskunmajsai Többcélú Kistérségi Társulás,Issuer,15542322103,5,0.044727616,0.30232814,-0.64440763,0.723067,3.4576821,25,0.0,9.841662692287835e-08,0.002770959409688957,0.004975124378109453,0.060971737059383926,0.3344629,2.3841858e-07
Békés Megyei Körös-menti Szociális Centrum,Issuer,15343343204,10,0.046282973,0.36834052,-0.7504363,0.78451264,4.2000666,11,0.0,9.416613147471544e-14,0.002903626796460366,0.004975124378109453,0.026184865147944488,0.35297757,-1.1920929e-07
Magyar Honvédség Egészségügyi Központ,Issuer,15714163251,7,0.013314987,0.19151424,-0.42692843,0.44147232,2.1719666,17,0.0,0.03532194341898526,0.0021208854161388468,0.004975124378109453,0.2224101169031689,0.4610421,1.1920929e-07
Győr-Moson-Sopron Megyei Rendőr-főkapitányság,Issuer,15720773251,2,0.0137619125,0.19929773,-0.51216,0.49307957,2.2601655,20,0.0,0.03639488081376739,0.002192719212238562,0.004975124378109453,0.2209588273964598,0.45665815,4.7683716e-07
UD Human Service Korlátolt Felelősségű Társaság,Issuer,12482449409,10,0.045597546,0.36442316,-0.74343926,0.77758646,4.155126,11,0.0,9.416613147471544e-14,0.002903626796460366,0.004975124378109453,0.026184865147944488,0.3470534,3.5762787e-07
ZEBEGÉNY KÖZSÉG ÖNKORMÁNYZATA,Issuer,15731223213,1,-0.018558552,0.1937779,-0.5250361,0.5136425,2.202378,16,0.0,0.0314304934819385,0.0020837952878654566,0.004975124378109453,0.21465572296993637,0.45371866,1.1920929e-07
Nemzeti Népegészségügyi Központ,Issuer,15598787243,7,0.011972712,0.19096643,-0.4225151,0.41255295,2.1647806,17,0.0,0.03532194341898526,0.0021208854161388468,0.004975124378109453,0.2224101169031689,0.45699608,-5.9604645e-08
Budapest I. kerület Budavári Önkormányzat,Issuer,15735643241,1,-0.015368653,0.20732145,-0.6176228,0.6157458,2.3520105,16,0.0,0.0314304934819385,0.0020837952878654566,0.004975124378109453,0.21465572296993637,0.44757193,0.0
