analysis_type,nodes,edges,density,avg_clustering,number_of_communities,avg_betweenness,avg_pagerank,avg_degree_centrality,avg_closeness_centrality,avg_eigenvector_centrality,diameter,avg_shortest_path,transitivity,reciprocity,assortativity
top_15_Árubeszerzés_issuers,840,1202,0.0017055451501220274,0.0,14,0.003466164144506073,0.0011904761904761908,0.0034110903002440534,0.0017055451501220267,0.028511441529277447,6,3.9046455530960893,0,0.0,0.09756187879656428
top_15_Árubeszerzés_winners,743,1051,0.0019063822994852223,0.0,13,0.003586727906796978,0.001345895020188425,0.0038127645989704446,0.0019063822994852223,0.0045480467983767415,6,3.6577653789365616,0,0.0,-0.004867728830219934
top_15_Szolgáltatás megrendelés_issuers,807,905,0.0013913615664425114,0.0,1,0.00402815239960764,0.001239157372986369,0.0027827231328850233,0.0013913615664425114,0.03193731568171126,8,4.241423524311161,0,0.0,-0.07889066481309367
top_15_Szolgáltatás megrendelés_winners,202,261,0.006428254765775085,0.0,11,0.009072705778040492,0.0049504950495049506,0.01285650953155017,0.006428254765775085,0.01650558553932638,-1,-1.0,0,0.0,-0.022488987627576004
top_15_Építési beruházás_issuers,504,576,0.002272081794944618,0.0,14,0.006614662873326035,0.0019841269841269836,0.004544163589889237,0.002272081794944618,0.03931209275459223,8,4.320560762409669,0,0.0,-0.05635366322448438
top_15_Építési beruházás_winners,394,467,0.0030159775771431523,0.0,12,0.00933097306035988,0.002538071065989847,0.006031955154286306,0.0030159775771431523,0.00894662503835406,10,4.6577414396610735,0,0.0,0.018072733434116178
