Node,Type,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Degree_Centrality,Closeness_Centrality,Avg_Similarity_To_Others,Max_Similarity_To_Others
"""FIZ"" Felsőzsolcai Ipari Zóna Befektetési, Ingatlanforgalmazási és Szolgáltató Kft.",Issuer,12500844205,6,-0.0045056967,0.20996624,-0.46598238,0.51154035,2.3760438,25,0.0,0.016241661012806174,0.0011401317914234669,0.002544529262086514,0.22016806722689075,0.40323702,-1.1920929e-07
Szeged Megyei Jogú Város Önkormányzata,Issuer,15735629206,0,0.014058626,0.19391887,-0.42251644,0.6630899,2.1996996,34,0.0024494872984163656,0.09390972862757056,0.0019400847888697106,0.005089058524173028,0.2524084778420039,0.44351932,0.0
Budapesti Rendőr-főkapitányság,Issuer,15720388251,10,0.028320378,0.31004286,-0.6469768,0.6971932,3.5223377,37,0.0,0.00032985650856923334,0.001343453284181169,0.002544529262086514,0.1673052362707535,0.38109186,-1.1920929e-07
Monorierdő Község Önkormányzata,Issuer,15736228113,3,-0.005051276,0.20270704,-0.46926442,0.47986794,2.2940803,39,0.0,0.050872974103341524,0.0011789704408357656,0.002544529262086514,0.2267743796884016,0.4477185,-1.7881393e-07
Leányfalu Nagyközség Önkormányzata,Issuer,15731003213,7,-0.026202254,0.2397707,-0.6000346,0.5123785,2.7288454,48,0.0,0.005372744441207349,0.0013060558709431728,0.002544529262086514,0.2206625491297024,0.41216782,1.1920929e-07
ACÉLMAX Szolgáltató és Kereskedelmi Zártkörűen Működő Részvénytársaság|Magyar Közút Nonprofit Zártkörűen Működő Részvénytársaság|Sajókeresztúr Község Önkormányzata,Issuer,24794534205|14605749244|15726061205,3,-0.005621433,0.2026878,-0.48078385,0.5262541,2.2940323,39,0.0,0.050872974103341524,0.0011789704408357656,0.002544529262086514,0.2267743796884016,0.44169328,1.1920929e-07
Fényeslitke Község Önkormányzata,Issuer,15731924115,8,-0.0060029235,0.23439991,-0.5890088,0.6215403,2.6528018,16,0.0,0.005125362421533851,0.0012090151413058489,0.002544529262086514,0.2280905397562391,0.37647584,1.1920929e-07
Őrtilos Község Önkormányzata,Issuer,15398453114,3,-0.00044919807,0.20445807,-0.47032318,0.5204296,2.3131847,39,0.0,0.050872974103341524,0.0011789704408357656,0.002544529262086514,0.2267743796884016,0.44329217,-2.3841858e-07
Balatonkeresztúr Község Önkormányzata,Issuer,15396530214,3,-0.0027112528,0.21188627,-0.51100624,0.51129335,2.3974156,39,0.0,0.050872974103341524,0.0011789704408357656,0.002544529262086514,0.2267743796884016,0.44163013,1.1920929e-07
Belváros-Lipótváros Budapest Főváros V. kerület Önkormányzat,Issuer,15735681241,4,0.0014408762,0.23297936,-0.4653237,0.61598474,2.635911,32,0.0,0.02038099970963652,0.0011835582803433908,0.002544529262086514,0.2160527762506872,0.41166517,0.0
