Node,Type,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Degree_Centrality,Closeness_Centrality,Avg_Similarity_To_Others,Max_Similarity_To_Others
Dél-Kom Dél-Dunántúli Kommunális Szolgáltató Nonprofit Korlátolt Felelősségű Társaság,Issuer,11541587202,1,0.00074782595,0.15833473,-0.32594973,0.47863498,1.791373,42,0.0,0.04452281930111021,0.0020884954689582864,0.004405286343612335,0.28410513141426785,0.5055747,-2.3841858e-07
STRABAG Általános Építő Korlátolt Felelősségű Társaság,Winner,"11705053444,01-09-930940",1,0.009499852,0.18022121,-0.35393122,0.44767272,2.0418012,42,0.39713333830195285,0.3890672016170566,0.08749792778542069,0.22907488986784144,0.3961605584642234,0.46588415,-5.9604645e-08
Vecsés Város Önkormányzata,Issuer,15730686213,3,-0.0026235753,0.18631807,-0.48748505,0.5872048,2.1081574,45,0.0,0.05499474429686558,0.0021331632388402917,0.004405286343612335,0.2536312849162011,0.5038377,1.1920929e-07
Colas Út Építőipari Zártkörűen Működő Részvénytársaság,Winner,"14904134244,HU14904134",3,-0.011508822,0.19283575,-0.5778381,0.46400428,2.1855695,45,0.37008374560571494,0.4805798344142751,0.10411224454455907,0.2643171806167401,0.3393124065769806,0.48532012,1.1920929e-07
Fóti Közszolgáltató Közhasznú Nonprofit Kft.,Issuer,14539262213,4,-0.018592,0.20447649,-0.4949596,0.47805542,2.3229306,41,0.0,0.01951576614394379,0.002180965379693004,0.004405286343612335,0.2427807486631016,0.45587546,-1.7881393e-07
Penta Általános Építőipari Korlátolt Felelősségű Társaság,Winner,"10452556244,HU10452556",4,-0.020009842,0.22439161,-0.65282595,0.46560714,2.5487752,41,0.2677841910509006,0.17054088271224796,0.07165769030091738,0.1762114537444934,0.32016925246826516,0.44737434,-1.1920929e-07
Kiskunhalas Város Önkormányzata,Issuer,15724904203,3,-0.0048641213,0.18072474,-0.42295668,0.624745,2.0454075,45,0.0,0.05499474429686558,0.0021331632388402917,0.004405286343612335,0.2536312849162011,0.49319294,-1.7881393e-07
Veszprém Megyei Jogú Város Önkormányzata,Issuer,15734202219,0,0.004548831,0.14270025,-0.3794397,0.304742,1.6152891,44,0.03227620327677367,0.13302796333476097,0.005029953001324054,0.013215859030837006,0.3620414673046252,0.5384184,0.0
SWIETELSKY Magyarország Korlátolt Felelősségű Társaság,Winner,nan,0,0.0036478972,0.17938527,-0.46079677,0.5256806,2.0299323,44,0.41960279664219635,0.2928321555045529,0.08277692130389919,0.2114537444933921,0.39070567986230637,0.458335,-5.9604645e-08
Heves Megyei Szakképzési Centrum,Issuer,15831938210,2,0.017389698,0.22159271,-0.56260294,0.69711596,2.5147433,56,0.0,0.0060952936002157095,0.0023457167481956897,0.004405286343612335,0.2402116402116402,0.41072443,-5.9604645e-08
