Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
Magyar Pünkösdi Egyház Országos Cigánymisszió,Buyer,18393567204,112,-0.020612039,0.39788684,-1.348145,1.0192684,4.5076118,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.39241233,-1.7881393e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Sarkadi Építőipari Közös KFT,Winner,11042215204,112,-0.016477622,0.4020959,-1.3584507,1.0135084,4.553014,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.39376608,-2.3841858e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Evo-Komplex Épületszigetelő és Kivitelező Korlátolt Felelősségi Társaság,Winner,"14580828220,HU14580828",2,0.003858691,0.36895275,-0.81984586,0.85286516,4.1744523,5,4.0165481784954006e-05,1.7165938156392388e-14,0.003164021463857013,0.39535624,0.0,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Geoszolg Mélyépítőipari és Vállalkozási Korlátolt Felelősségű Társaság,Winner,"10902563213,HU10902563",16,-0.010993546,0.35227486,-0.8872421,0.9114677,3.9874754,17,0.0,0.02004651722973853,0.001509802272357239,0.40045667,0.0,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Kecskeméti Református Egyházközség,Buyer,19973162203,113,-0.0615929,0.37889737,-1.0291864,1.035033,4.3430037,3,1.3388493928318003e-05,5.888795009104703e-19,0.00376056481046872,0.4011137,4.7683716e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
HORVÁTH FAIPARI KFT.,Winner,10444573203,113,-0.057186797,0.3776131,-1.0030507,1.0925488,4.320918,3,0.0,4.1640068839554323e-19,0.0019856969762089382,0.3951403,1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Verdaccio EnergyTeam Energetikai Korlátolt Felelősségű Társaság,Winner,"23486289242,HU234 86289",113,-0.059281446,0.38136724,-0.9820122,1.1115172,4.366494,3,0.0,4.1640068839554323e-19,0.0019856969762089382,0.39512157,1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Magyarországi Metodista Egyház,Buyer,19818568141,79,-0.042283043,0.37433073,-1.0211672,0.69482785,4.262001,3,0.0,4.1640068839554323e-19,0.0019856969762089382,0.3984754,0.0,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
COSTRUTTIVO Építőipari és Szolgáltató Kft.,Winner,14342208214,68,-0.046892576,0.37290844,-1.1062055,0.9867034,4.252203,6,0.0,2.3964452627044912e-14,0.0016985368275404915,0.39682323,-2.9802322e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
TÖMB 2002 Szolgáltató Korlátolt Felelősségű Társaság,Winner,"22757937209,HU22757937",19,-0.061785266,0.3870974,-0.91253436,0.90222305,4.434942,3,0.0,4.1640068839554323e-19,0.0019856969762089382,0.3956162,1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Seregély István Papi Szociális Otthon,Buyer,19204484115,114,-0.055350043,0.40946558,-1.0655822,0.9701576,4.6747074,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.39619893,-2.3841858e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
ROZÉP Építőipari és Szolgáltató Korlátolt Felelősségű Társaság,Winner,26296458241,114,-0.052426606,0.4059086,-1.0358477,0.9533589,4.630478,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.39373708,-2.3841858e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Magyar Természetjáró Szövetség|Tanulmányi Erdőgazdaság Zrt.,Buyer,19001511242|11129400208,115,-0.04286762,0.40481156,-1.0234889,0.87595326,4.6055274,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.39152786,-1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
