Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
AGALON Építő Korlátolt Felelősségű Társaság,Winner,26261102215,12,-0.04146482,0.38399258,-1.0588036,0.80377626,4.3696356,3,1.3388493928318003e-05,5.888795009104703e-19,0.00376056481046872,0.40007496,-2.9802322e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Lóska Ménes Sportegyesület,Buyer,18141463112,13,-0.0011181142,0.37669772,-1.1055001,1.1631484,4.261867,6,0.0,9.377458277431695e-13,0.00168716811180532,0.39567038,-2.3841858e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
FONOTERV Mérnökiroda és Építőipari Szolgáltató Korlátolt Felelősségű Társaság,Winner,27091469213,13,0.0015673125,0.36840376,-1.1640878,1.1228579,4.168051,6,5.355397571327201e-05,1.9451786359916503e-12,0.0030617820436533044,0.39932325,-5.9604645e-08,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Magyarországi Zsidó Hitközségek Szövetsége,Buyer,19819600242,14,-0.017600723,0.31371582,-0.8480271,0.7827113,3.5548708,16,0.00623903817059619,0.10429339790716612,0.007315739760322122,0.39500898,1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
A.MeCoD Zártkörűen Működő Részvénytársaság,Winner,"25810992213,HU25810992",14,-0.017261513,0.31899202,-0.80471367,0.7275616,3.6142623,16,0.0,0.028943476871671373,0.0014238134221809828,0.40024298,-5.9604645e-08,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Nagykőrösi Református Egyházközség,Buyer,19829795113,15,-0.04719369,0.40706867,-1.174965,1.121605,4.636304,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.39523622,2.3841858e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
"Zsigó és Társa Építőipari, Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság",Winner,13529473203,15,-0.0453117,0.40671024,-1.169757,1.098741,4.62987,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.399412,-1.7881393e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Esztergom-Budapesti Főegyházmegye,Buyer,19143138211,16,0.00038899202,0.28879398,-0.8270685,0.64692545,3.2673342,17,0.025331030512377662,0.6489404344142745,0.01349955121314768,0.39924031,-5.9604645e-08,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
S-Team Bau Építőipari Korlátolt Felelősségű Társaság,Winner,13981305211,16,-0.0053223968,0.29417357,-0.79220754,0.6652411,3.3287387,17,0.0,0.1800962216958613,0.0013437106153917563,0.40512148,0.0,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Ciszterci Rend Zirc-Pilis-Pásztó-Szentgotthárd Egyesített Apátsága Zirc,Buyer,18915129219,17,-0.059238277,0.36342442,-1.007348,1.0490104,4.165941,6,0.0,5.3294371190331236e-14,0.001684841795797174,0.40207005,-1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Pécsi Építő és Tatarozó ZRt,Winner,11004400202,17,-0.05443273,0.35884345,-0.9177407,1.0404966,4.1062927,6,5.355397571327201e-05,1.0295681905715403e-13,0.003054691429771398,0.39713666,1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
REAG Invest Kft.,Winner,23769694243,18,-0.008076301,0.28644082,-0.8315419,0.6708158,3.241996,11,0.016119746689694875,0.19838158903518263,0.002369856609775701,0.38462868,-1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Debrecen-Nyíregyházi Egyházmegye,Buyer,18791271109,19,-0.061236016,0.39118847,-0.98284936,0.8980358,4.47969,3,1.3388493928318003e-05,5.888795009104703e-19,0.00376056481046872,0.39968455,-5.9604645e-08,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Vespertinus Korlátolt Felelősségű Társaság,Winner,24745509209,19,-0.06422423,0.3917554,-0.93821543,0.906832,4.4913726,3,0.0,4.1640068839554323e-19,0.0019856969762089382,0.4001007,-2.3841858e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Magyar Bencés Kongregáció Szent Mór Perjelség,Buyer,18985445108,18,-0.019109242,0.30290887,-1.0010538,0.6664606,3.4338353,11,0.016253631628978055,0.06588595361891664,0.00361875926820392,0.38460624,1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
AN-UDART Restaurátor és Művészeti Korlátolt Felelősségű Társaság|MR Restart Restaurátor művész Korlátolt Felelőségű Társaság|Synthese Restaurátor Kft.,Winner,"13920984243|25169265241,HU25169265|10532603242",18,-0.012458887,0.32774198,-1.1558837,0.80488473,3.710655,11,0.0,0.018285367339321307,0.0014127439325282744,0.38259152,1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Balatonfüred Város Sportjáért Közhasznú Alapítvány,Buyer,18222195219,20,-0.011473263,0.40036952,-1.0294278,0.9000034,4.5315237,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.39518481,0.0,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
GÓTIKA Balatonfüred és Környéke Építőipari Kft,Winner,10537598219,20,-0.011541966,0.40388426,-1.0072619,0.9271464,4.571294,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.39500657,1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
AVL Trade Korlátol Felelősségű Társaság,Winner,"25473630213,HU25473630",14,-0.017186938,0.31901738,-0.90658325,0.67351973,3.6145036,16,0.0,0.028943476871671373,0.0014238134221809828,0.39720464,2.3841858e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Fons Sacer belső egyházi jogi személy|Magyarok Nagyasszonya Ferences Rendtartomány,Buyer,18272839241|19001009241,21,-0.10594669,0.3935337,-0.9786197,0.8329919,4.610853,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.39624575,-1.7881393e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
LATEREX Építő Zártkörűen Működő Részvénytársaság,Winner,"25098367243,HU25098367",21,-0.10301682,0.39351133,-0.9630536,0.8503423,4.6021023,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.3949644,0.0,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Tisza-tó Strand Nonprofit Kft.,Buyer,23747065216,22,0.022858966,0.40622568,-0.9818147,1.0150735,4.60319,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.39620107,-1.7881393e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
INTAZI Kereskedelmi és Szolgáltató Kft.,Winner,13625249209,22,0.01620883,0.40506613,-0.96335715,1.0032551,4.5864677,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.4024368,1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Budapesti Vasutas Sport Club - Zugló Közhasznú Egyesület,Buyer,19806990242,23,-0.0071592126,0.3672423,-1.053179,0.9896478,4.1556616,6,0.00013388493928318004,8.194288938333254e-11,0.007310300478988285,0.40031442,4.7683716e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Dödivill villamosági Szolgáltató és Kereskedelmi Kft,Winner,14843118241,23,0.0034149252,0.35864934,-1.0672443,0.96049607,4.057838,6,0.0,3.664597418677547e-11,0.001630723409356982,0.3982628,2.3841858e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Pelikán Vadásztársaság Sarkad,Buyer,19977702204,24,-0.030381124,0.38380888,-1.0106094,1.122731,4.3558846,3,1.3388493928318003e-05,5.888795009104703e-19,0.00376056481046872,0.39582333,1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Podeszt Építőipari Kft.,Winner,11043292204,24,-0.03067512,0.37655717,-0.9951932,1.1077527,4.2743707,3,0.0,4.1640068839554323e-19,0.0019856969762089382,0.39502963,2.3841858e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Délma-Vill Kereskedelmi és szolgáltatio Kft.,Winner,13955553204,24,-0.02835518,0.3794693,-0.99739325,1.0732554,4.305174,3,0.0,4.1640068839554323e-19,0.0019856969762089382,0.39537847,2.3841858e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Egri Főegyházmegye,Buyer,19924601110,4,-0.014715977,0.3478856,-0.87300634,1.0844857,3.9393961,16,0.0003614893360645861,3.5896765380626084e-09,0.004143909494293331,0.3923187,1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Csüllög és Társa Szolgáltató Korlátolt Felelősségű Társaság,Winner,12432901216,4,-0.016817437,0.3510668,-0.937942,1.05074,3.976422,16,0.0,1.442330659961508e-09,0.001561177531590407,0.39226595,-1.7881393e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Miasszonyunkról Nevezett Kalocsai Iskolanővérek Társulata,Buyer,19023298142,3,-0.0426564,0.34279096,-0.8703053,0.8774043,3.9081488,18,0.0,3.395474574128963e-05,0.0015860641305402933,0.3874379,0.0,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
ELŐREGYÁRTÓ-SZERELŐ ÉS ÉPÍTŐIPARI FŐVÁLLALKOZÓ KFT.,Winner,10301412203,3,-0.036173746,0.33671838,-0.8687642,0.8173649,3.8314538,18,0.0009371945749822602,0.00011760093690380336,0.002824263565425442,0.3937929,0.0,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Magyar Természetjáró Szövetség|Bakonyerdő Erdészeti és Faipari Zrt.|Mogyoród Nagyközség Önkormányzata,Buyer,19001511242|11345161219|15730514213,25,-0.06427186,0.39007086,-0.92634755,0.8742545,4.4726534,3,1.3388493928318003e-05,5.888795009104703e-19,0.00376056481046872,0.39483494,2.3841858e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Novitas-Invest Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,Winner,"14942310219,HU14942310",25,-0.064232595,0.3843203,-0.9582544,0.8123514,4.4083977,3,0.0,4.1640068839554323e-19,0.0019856969762089382,0.39739102,-1.7881393e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Nyírbátori Református Egyházközség,Buyer,19858155115,26,-0.06423945,0.3885112,-0.9396873,0.9803744,4.4551835,3,1.3388493928318003e-05,5.888795009104703e-19,0.00376056481046872,0.4028401,-1.7881393e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Egberstone Korlátolt Felelősségű Társaság,Winner,13062233209,26,-0.06574557,0.38099042,-0.89117616,0.99806833,4.374123,3,0.0,4.1640068839554323e-19,0.0019856969762089382,0.3976578,0.0,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Középkori Templomok Útja Egyesület,Buyer,18869107115,27,-0.05270761,0.3702084,-0.9973916,0.9566164,4.230667,4,2.6776987856636006e-05,9.426392530099243e-17,0.003345993850605895,0.3972701,-1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Médi-Ép Bau Kft.,Winner,13434119215,27,-0.05555533,0.3650671,-0.94278026,0.8899105,4.177814,4,2.6776987856636006e-05,9.426392530099243e-17,0.003345993850605895,0.3999517,0.0,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Váci Egyházmegye,Buyer,19835790213,28,-0.016601525,0.36711717,-0.9972277,0.91736424,4.1577015,5,6.694246964159002e-05,2.2428379052500353e-14,0.004607006834621687,0.400318,-3.5762787e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Globo Menedzsment Kereskedelmi és Szolgáltató Kft,Winner,"22739058241,22739058,01-09-941376",28,-0.018463096,0.36392903,-0.9304122,0.9799301,4.122682,5,0.0,1.21381512758138e-14,0.0016923460380948653,0.4022352,-2.3841858e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
"MOLNÁR & MOLNÁR Építőipari, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság",Winner,"11472928211,HU11472928",16,-0.009174678,0.29253027,-0.8167949,0.75476164,3.3112295,17,0.003588116372789225,0.20014273892559986,0.002466914949604665,0.39713225,0.0,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
B&G Generál Üzemeltetési és Építőipari Korlátolt Felelősségű Társaság,Winner,"25398791241,HU25398791-2-41,11A71012",16,-0.008433801,0.28941265,-0.72016144,0.6548222,3.2757204,17,0.0,0.1800962216958613,0.0013437106153917563,0.39957806,0.0,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Csornai Premontrei Prépostság,Buyer,19104913108,14,0.023770483,0.3410088,-0.7109845,0.79616976,3.8674362,16,0.0027714182431618265,0.008514397335822842,0.0053433379385046595,0.3947569,-1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
HUN-ROAD MOVA ÉPÍTŐ Kft.,Winner,"14296255208,HU14296255",14,0.021098038,0.3454859,-0.79578936,0.79093486,3.9160082,16,0.0,0.002362892363038003,0.0015227926249223723,0.38900262,-1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Budai Szerb Ortodox Egyházmegye,Buyer,19181936113,30,-0.08607197,0.38364843,-0.9028186,1.1538464,4.448381,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.39673355,2.3841858e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Zóna-Szigbau Kft,Winner,24784511213,30,-0.08582696,0.3865557,-0.87635756,1.1809088,4.4798794,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.38932705,0.0,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Kárpát-medencei Teniszakadémia Nonprofit Korlátolt Felelősségű Társaság,Buyer,25833962215,11,-0.040524997,0.36085707,-0.9666974,1.0077543,4.108296,5,0.0,1.2138151275813794e-14,0.0016923460380948653,0.39892578,-1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
KERMI-SZOLG Kft,Winner,26161136215,11,-0.037789147,0.36474755,-1.0491168,0.99040794,4.1487355,5,6.694246964159002e-05,2.242837905250034e-14,0.004607006834621687,0.39799023,-2.3841858e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Mátészalka Kossuth téri Református Egyházközség,Buyer,19858753215,31,-0.050705884,0.39417443,-0.8358926,0.89103293,4.496321,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.3935367,0.0,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
"Art Vital Tervező, Építő és Kereskedelmi Kft.",Winner,11252469215,31,-0.050195213,0.39686778,-0.81191933,0.90546894,4.525817,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.38827968,1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Máriapócsi Lelkigyakorlatos- és Zarándokház,Buyer,18801071215,32,-0.06880341,0.34879598,-0.9981142,0.95377195,4.022219,9,0.0,5.004568864099634e-10,0.001580631907721336,0.3957869,2.3841858e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
"PALLADIAN Építőipari, Szolgáltató és Kereskedelmi Korkátolt Felelősségű Társaság",Winner,14894114215,32,-0.062369473,0.3432691,-0.9976956,0.8983749,3.9472299,9,0.00017405042106813403,1.1995134228451362e-09,0.004214995440310217,0.3981412,3.5762787e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Nyírkércsi Református Egyházközség,Buyer,19858265115,33,-0.014252743,0.37585977,-1.0754877,0.94266164,4.255424,6,0.0,2.3964452627044925e-14,0.0016985368275404915,0.39254048,1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
BORSOD-FERTRANS FUVAROZÓ KERESKEDELMI KFT,Winner,13473183205,33,-0.015196348,0.36681876,-1.0145657,0.8985743,4.1536403,6,5.355397571327201e-05,4.558309758241232e-14,0.0030852981100316606,0.4000715,-5.9604645e-08,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Katolikus Karitász-Caritas Hungarica,Buyer,19661029143,14,-0.019260002,0.3455757,-0.8005147,0.8394265,3.9158099,16,0.0009371945749822602,0.009494844237376232,0.0028807364407601376,0.39638007,-5.9604645e-08,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
BEMIKO Fővállalkozó Korlátolt Felelősségű Társaság.,Winner,"25393655207,HU25393655,07-09-026369",14,-0.024308797,0.35952172,-0.8811414,0.81996167,4.076811,16,0.0,0.002634977093264111,0.0016117218115101854,0.38907152,-5.9604645e-08,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Alsóörs-Lovasi Református Társegyházközség,Buyer,19897545119,34,-0.059418652,0.37641177,-1.0713127,1.0017083,4.311345,3,0.0,4.1640068839554323e-19,0.0019856969762089382,0.3973803,0.0,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
STYLUS Építő és Üzemeltető Zártkörűen Működő Részvénytársaság,Winner,"25051474241,HU25051474",34,-0.065985754,0.3802163,-1.0499414,0.98126376,4.3659563,3,1.3388493928318003e-05,5.888795009104703e-19,0.00376056481046872,0.3998455,0.0,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
T-Hof Bau Kft,Winner,23839261213,3,-0.03269414,0.30579326,-0.9191826,0.69535685,3.4793732,18,0.0052215126320440215,0.0008697981310951438,0.0024807720877503166,0.39789432,0.0,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Szegedi Úszó és Vízilabda Tömegsport Egylet,Buyer,18473308106,35,-0.034363765,0.39316836,-0.8333628,1.0920278,4.46515,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.393764,-1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
CLEAN STAR COMPLEX Szolgáltató és Kereskedelmi Kft,Winner,"12994775206,HU12994775",35,-0.03467851,0.39453614,-0.91906554,1.1064332,4.4808764,2,0.0,3.4538406570819616e-24,0.002577319587628866,0.39373237,-5.9604645e-08,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
SZIROM-DEKOR Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,Buyer,10579998213,36,-0.017464003,0.40123045,-1.2467725,0.92154324,4.5437026,3,1.3388493928318003e-05,5.888795009104703e-19,0.00376056481046872,0.39471817,-1.7881393e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Daraban János,Winner,8415824351,36,-0.020260949,0.3934195,-1.224051,0.9035443,4.456932,3,0.0,4.1640068839554323e-19,0.0019856969762089382,0.40265524,-1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Tiszáninneni Református Egyházkerület,Buyer,19542403105,4,0.0046825013,0.3432736,-0.8791873,1.0063137,3.884059,16,0.0005087627692760841,3.8199240756315365e-09,0.003989446208338836,0.39889672,0.0,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
POPEX Építőipari Szolgáltató Bt.,Winner,20648321205,4,0.008892578,0.34343734,-0.9011133,0.97398615,3.8868523,16,0.0,1.5348446450547953e-09,0.0015173877964650894,0.3983406,2.3841858e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Nyírtéti Református Egyházközség,Buyer,19858306115,38,-0.06896815,0.3803271,-0.9950982,0.8479528,4.3730855,3,0.0,4.1640068839554323e-19,0.0019856969762089382,0.39780307,1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
MHM Product Kft|Kálló-Bau Kft.,Winner,24329837241|13776462215,38,-0.07485601,0.38446805,-0.95777595,0.88502043,4.4314384,3,1.3388493928318003e-05,5.888795009104703e-19,0.00376056481046872,0.39835823,0.0,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Székesfehérvári Egyházmegye,Buyer,19821780207,3,-0.025904624,0.314781,-0.8003781,0.763193,3.5733793,18,0.013749983264382589,0.0026866649576819802,0.010637757693966975,0.39650977,-5.9604645e-08,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
OCTOPUS Invest Szolgáltató Korlátolt Felelősségű Társaság,Winner,"12525689241,HU12525689",3,-0.035111833,0.32114893,-0.83434206,0.6178356,3.6550367,18,0.0,0.000762045575851559,0.0013921078932336325,0.4003569,-5.9604645e-08,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Euro Generál Zrt.,Winner,"22927800208,HU22927800",3,-0.028027263,0.32922995,-0.9272874,0.80906564,3.738284,18,0.0,0.00010775255524358496,0.0014752621326610139,0.40303114,1.1920929e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Veszprémi Főegyházmegye,Buyer,19897253119,3,-0.019719493,0.342905,-0.8873389,0.84882486,3.885937,18,0.0018610006560362024,0.00028775266000036833,0.004108196636791364,0.39499125,-5.9604645e-08,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
M20 Generál Korlátolt Felelősségű Társaság,Winner,25340774219,3,-0.016587658,0.34754068,-0.92807364,0.8617874,3.9364502,18,0.0,8.234523201340005e-05,0.0015514397061347253,0.3941204,0.0,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
ÉPSZER Építő-és Szerelőipari Zártkörűen működő Részvénytársaság,Winner,"12610008205,HU12610008",4,0.0005201679,0.32895705,-0.8320653,0.98188615,3.721729,16,0.0005890937328459922,6.141849326344054e-09,0.002555556806189936,0.40188214,-5.9604645e-08,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Magyarországi Evangélikus Egyház,Buyer,19719483242,40,-0.02543361,0.3739313,-0.84479094,0.9559265,4.2403245,5,8.033096356990801e-05,6.428991877755214e-13,0.006127055256148432,0.3941893,-1.7881393e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
PEKU AGRO Építő és Szolgáltató Korlátolt Felelősségű Társaság,Winner,22622426210,40,-0.025597889,0.36414844,-0.8076499,0.9747562,4.130036,5,0.0,3.214495938877607e-13,0.0016898856704989753,0.40727723,0.0,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Morpheus 48 Építőipari és Kereskedelmi Kft,Winner,"12799020213,HU12799020",16,-0.015572809,0.28433302,-0.8309461,0.64799017,3.2216818,17,0.0,0.1800962216958613,0.0013437106153917563,0.41025782,4.7683716e-07,"KL - Szabadidő, kultúra és vallás",U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
